,Идентификационный номер,Выжившие,Класс пассажира,Имя,Пол,Возраст,Количество братьев/сестер,Количество родственников,Номер билета,Плата за проезд,Каюта,Порт посадки
527,528,0,1,"Farthing, Mr. John",male,1992.3008823529412,0,0,PC 17483,221.7792,C95,S
528,529,0,3,"Salonen, Mr. Johan Werner",male,1983.0,0,0,3101296,7.925,G6,S
529,530,0,2,"Hocking, Mr. Richard George",male,1999.0,2,1,29104,11.5,G6,S
530,531,1,2,"Quick, Miss. Phyllis May",female,2020.0,1,1,26360,26.0,G6,S
531,532,0,3,"Toufik, Mr. Nakli",male,1992.3008823529412,0,0,2641,7.2292,G6,C
532,533,0,3,"Elias, Mr. Joseph Jr",male,2005.0,1,1,2690,7.2292,G6,C
533,534,1,3,"Peter, Mrs. Catherine (Catherine Rizk)",female,1992.3008823529412,0,2,2668,22.3583,G6,C
534,535,0,3,"Cacic, Miss. Marija",female,1992.0,0,0,315084,8.6625,G6,S
535,536,1,2,"Hart, Miss. Eva Miriam",female,2015.0,0,2,F.C.C. 13529,26.25,G6,S
536,537,0,1,"Butt, Major. Archibald Willingham",male,1977.0,0,0,113050,26.55,B38,S
537,538,1,1,"LeRoy, Miss. Bertha",female,1992.0,0,0,PC 17761,106.425,G6,C
538,539,0,3,"Risien, Mr. Samuel Beard",male,1992.3008823529412,0,0,364498,14.5,G6,S
539,540,1,1,"Frolicher, Miss. Hedwig Margaritha",female,2000.0,0,2,13568,49.5,B39,C
540,541,1,1,"Crosby, Miss. Harriet R",female,1986.0,0,2,WE/P 5735,71.0,B22,S
541,542,0,3,"Andersson, Miss. Ingeborg Constanzia",female,2013.0,4,2,347082,31.275,G6,S
542,543,0,3,"Andersson, Miss. Sigrid Elisabeth",female,2011.0,4,2,347082,31.275,G6,S
543,544,1,2,"Beane, Mr. Edward",male,1990.0,1,0,2908,26.0,G6,S
544,545,0,1,"Douglas, Mr. Walter Donald",male,1972.0,1,0,PC 17761,106.425,C86,C
545,546,0,1,"Nicholson, Mr. Arthur Ernest",male,1958.0,0,0,693,26.0,G6,S
546,547,1,2,"Beane, Mrs. Edward (Ethel Clarke)",female,2003.0,1,0,2908,26.0,G6,S
547,548,1,2,"Padro y Manent, Mr. Julian",male,1992.3008823529412,0,0,SC/PARIS 2146,13.8625,G6,C
548,549,0,3,"Goldsmith, Mr. Frank John",male,1989.0,1,1,363291,20.525,G6,S
549,550,1,2,"Davies, Master. John Morgan Jr",male,2014.0,1,1,C.A. 33112,36.75,G6,S
550,551,1,1,"Thayer, Mr. John Borland Jr",male,2005.0,0,2,17421,110.8833,C70,C
551,552,0,2,"Sharp, Mr. Percival James R",male,1995.0,0,0,244358,26.0,G6,S
552,553,0,3,"O'Brien, Mr. Timothy",male,1992.3008823529412,0,0,330979,7.8292,G6,Q
553,554,1,3,"Leeni, Mr. Fahim (""Philip Zenni"")",male,2000.0,0,0,2620,7.225,G6,C
554,555,1,3,"Ohman, Miss. Velin",female,2000.0,0,0,347085,7.775,G6,S
555,556,0,1,"Wright, Mr. George",male,1960.0,0,0,113807,26.55,G6,S
556,557,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,1974.0,1,0,11755,39.6,A16,C
557,558,0,1,"Robbins, Mr. Victor",male,1992.3008823529412,0,0,PC 17757,227.525,G6,C
558,559,1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,1983.0,1,1,110413,79.65,E67,S
559,560,1,3,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,1986.0,1,0,345572,17.4,G6,S
560,561,0,3,"Morrow, Mr. Thomas Rowan",male,1992.3008823529412,0,0,372622,7.75,G6,Q
561,562,0,3,"Sivic, Mr. Husein",male,1982.0,0,0,349251,7.8958,G6,S
562,563,0,2,"Norman, Mr. Robert Douglas",male,1994.0,0,0,218629,13.5,G6,S
563,564,0,3,"Simmons, Mr. John",male,1992.3008823529412,0,0,SOTON/OQ 392082,8.05,G6,S
564,565,0,3,"Meanwell, Miss. (Marion Ogden)",female,1992.3008823529412,0,0,SOTON/O.Q. 392087,8.05,G6,S
565,566,0,3,"Davies, Mr. Alfred J",male,1998.0,2,0,A/4 48871,24.15,G6,S
566,567,0,3,"Stoytcheff, Mr. Ilia",male,2003.0,0,0,349205,7.8958,G6,S
567,568,0,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,1993.0,0,4,349909,21.075,G6,S
568,569,0,3,"Doharr, Mr. Tannous",male,1992.3008823529412,0,0,2686,7.2292,G6,C
569,570,1,3,"Jonsson, Mr. Carl",male,1990.0,0,0,350417,7.8542,G6,S
570,571,1,2,"Harris, Mr. George",male,1960.0,0,0,S.W./PP 752,10.5,G6,S
571,572,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,1969.0,2,0,11769,51.4792,C101,S
572,573,1,1,"Flynn, Mr. John Irwin (""Irving"")",male,1986.0,0,0,PC 17474,26.3875,E25,S
573,574,1,3,"Kelly, Miss. Mary",female,1992.3008823529412,0,0,14312,7.75,G6,Q
574,575,0,3,"Rush, Mr. Alfred George John",male,2006.0,0,0,A/4. 20589,8.05,G6,S
575,576,0,3,"Patchett, Mr. George",male,2003.0,0,0,358585,14.5,G6,S
576,577,1,2,"Garside, Miss. Ethel",female,1988.0,0,0,243880,13.0,G6,S
577,578,1,1,"Silvey, Mrs. William Baird (Alice Munger)",female,1983.0,1,0,13507,55.9,E44,S
578,579,0,3,"Caram, Mrs. Joseph (Maria Elias)",female,1992.3008823529412,1,0,2689,14.4583,G6,C
579,580,1,3,"Jussila, Mr. Eiriik",male,1990.0,0,0,STON/O 2. 3101286,7.925,G6,S
580,581,1,2,"Christy, Miss. Julie Rachel",female,1997.0,1,1,237789,30.0,G6,S
581,582,1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,1983.0,1,1,17421,110.8833,C68,C
582,583,0,2,"Downton, Mr. William James",male,1968.0,0,0,28403,26.0,G6,S
583,584,0,1,"Ross, Mr. John Hugo",male,1986.0,0,0,13049,40.125,A10,C
584,585,0,3,"Paulner, Mr. Uscher",male,1992.3008823529412,0,0,3411,8.7125,G6,C
585,586,1,1,"Taussig, Miss. Ruth",female,2004.0,0,2,110413,79.65,E68,S
586,587,0,2,"Jarvis, Mr. John Denzil",male,1975.0,0,0,237565,15.0,G6,S
587,588,1,1,"Frolicher-Stehli, Mr. Maxmillian",male,1962.0,1,1,13567,79.2,B41,C
588,589,0,3,"Gilinski, Mr. Eliezer",male,2000.0,0,0,14973,8.05,G6,S
589,590,0,3,"Murdlin, Mr. Joseph",male,1992.3008823529412,0,0,A./5. 3235,8.05,G6,S
590,591,0,3,"Rintamaki, Mr. Matti",male,1987.0,0,0,STON/O 2. 3101273,7.125,G6,S
591,592,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,1970.0,1,0,36947,78.2667,D20,C
592,593,0,3,"Elsbury, Mr. William James",male,1975.0,0,0,A/5 3902,7.25,G6,S
593,594,0,3,"Bourke, Miss. Mary",female,1992.3008823529412,0,2,364848,7.75,G6,Q
594,595,0,2,"Chapman, Mr. John Henry",male,1985.0,1,0,SC/AH 29037,26.0,G6,S
595,596,0,3,"Van Impe, Mr. Jean Baptiste",male,1986.0,1,1,345773,24.15,G6,S
596,597,1,2,"Leitch, Miss. Jessie Wills",female,1992.3008823529412,0,0,248727,33.0,G6,S
597,598,0,3,"Johnson, Mr. Alfred",male,1973.0,0,0,LINE,0.0,G6,S
598,599,0,3,"Boulos, Mr. Hanna",male,1992.3008823529412,0,0,2664,7.225,G6,C
599,600,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,1973.0,1,0,PC 17485,56.9292,A20,C
600,601,1,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,1998.0,2,1,243847,27.0,G6,S
601,602,0,3,"Slabenoff, Mr. Petco",male,1992.3008823529412,0,0,349214,7.8958,G6,S
602,603,0,1,"Harrington, Mr. Charles H",male,1992.3008823529412,0,0,113796,42.4,G6,S
603,604,0,3,"Torber, Mr. Ernst William",male,1978.0,0,0,364511,8.05,G6,S
604,605,1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,1987.0,0,0,111426,26.55,G6,C
605,606,0,3,"Lindell, Mr. Edvard Bengtsson",male,1986.0,1,0,349910,15.55,G6,S
606,607,0,3,"Karaic, Mr. Milan",male,1992.0,0,0,349246,7.8958,G6,S
607,608,1,1,"Daniel, Mr. Robert Williams",male,1995.0,0,0,113804,30.5,G6,S
608,609,1,2,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,2000.0,1,2,SC/Paris 2123,41.5792,G6,C
609,610,1,1,"Shutes, Miss. Elizabeth W",female,1982.0,0,0,PC 17582,153.4625,C125,S
610,611,0,3,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,1983.0,1,5,347082,31.275,G6,S
611,612,0,3,"Jardin, Mr. Jose Neto",male,1992.3008823529412,0,0,SOTON/O.Q. 3101305,7.05,G6,S
612,613,1,3,"Murphy, Miss. Margaret Jane",female,1992.3008823529412,1,0,367230,15.5,G6,Q
613,614,0,3,"Horgan, Mr. John",male,1992.3008823529412,0,0,370377,7.75,G6,Q
614,615,0,3,"Brocklebank, Mr. William Alfred",male,1987.0,0,0,364512,8.05,G6,S
615,616,1,2,"Herman, Miss. Alice",female,1998.0,1,2,220845,65.0,G6,S
616,617,0,3,"Danbom, Mr. Ernst Gilbert",male,1988.0,1,1,347080,14.4,G6,S
617,618,0,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,1996.0,1,0,A/5. 3336,16.1,G6,S
618,619,1,2,"Becker, Miss. Marion Louise",female,2018.0,2,1,230136,39.0,F4,S
619,620,0,2,"Gavey, Mr. Lawrence",male,1996.0,0,0,31028,10.5,G6,S
620,621,0,3,"Yasbeck, Mr. Antoni",male,1995.0,1,0,2659,14.4542,G6,C
621,622,1,1,"Kimball, Mr. Edwin Nelson Jr",male,1980.0,1,0,11753,52.5542,D19,S
622,623,1,3,"Nakid, Mr. Sahid",male,2002.0,1,1,2653,15.7417,G6,C
623,624,0,3,"Hansen, Mr. Henry Damsgaard",male,2001.0,0,0,350029,7.8542,G6,S
624,625,0,3,"Bowen, Mr. David John ""Dai""",male,2001.0,0,0,54636,16.1,G6,S
625,626,0,1,"Sutton, Mr. Frederick",male,1961.0,0,0,36963,32.3208,D50,S
626,627,0,2,"Kirkland, Rev. Charles Leonard",male,1965.0,0,0,219533,12.35,G6,Q
627,628,1,1,"Longley, Miss. Gretchen Fiske",female,2001.0,0,0,13502,77.9583,D9,S
628,629,0,3,"Bostandyeff, Mr. Guentcho",male,1996.0,0,0,349224,7.8958,G6,S
629,630,0,3,"O'Connell, Mr. Patrick D",male,1992.3008823529412,0,0,334912,7.7333,G6,Q
630,631,1,1,"Barkworth, Mr. Algernon Henry Wilson",male,1942.0,0,0,27042,30.0,A23,S
631,632,0,3,"Lundahl, Mr. Johan Svensson",male,1971.0,0,0,347743,7.0542,G6,S
632,633,1,1,"Stahelin-Maeglin, Dr. Max",male,1990.0,0,0,13214,30.5,B50,C
633,634,0,1,"Parr, Mr. William Henry Marsh",male,1992.3008823529412,0,0,112052,0.0,G6,S
634,635,0,3,"Skoog, Miss. Mabel",female,2013.0,3,2,347088,27.9,G6,S
635,636,1,2,"Davis, Miss. Mary",female,1994.0,0,0,237668,13.0,G6,S
636,637,0,3,"Leinonen, Mr. Antti Gustaf",male,1990.0,0,0,STON/O 2. 3101292,7.925,G6,S
637,638,0,2,"Collyer, Mr. Harvey",male,1991.0,1,1,C.A. 31921,26.25,G6,S
638,639,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,1981.0,0,5,3101295,39.6875,G6,S
639,640,0,3,"Thorneycroft, Mr. Percival",male,1992.3008823529412,1,0,376564,16.1,G6,S
640,641,0,3,"Jensen, Mr. Hans Peder",male,2002.0,0,0,350050,7.8542,G6,S
641,642,1,1,"Sagesser, Mlle. Emma",female,1998.0,0,0,PC 17477,69.3,B35,C
642,643,0,3,"Skoog, Miss. Margit Elizabeth",female,2020.0,3,2,347088,27.9,G6,S
643,644,1,3,"Foo, Mr. Choong",male,1992.3008823529412,0,0,1601,56.4958,G6,S
644,645,1,3,"Baclini, Miss. Eugenie",female,2021.25,2,1,2666,19.2583,G6,C
645,646,1,1,"Harper, Mr. Henry Sleeper",male,1974.0,1,0,PC 17572,76.7292,D33,C
646,647,0,3,"Cor, Mr. Liudevit",male,2003.0,0,0,349231,7.8958,G6,S
647,648,1,1,"Simonius-Blumer, Col. Oberst Alfons",male,1966.0,0,0,13213,35.5,A26,C
648,649,0,3,"Willey, Mr. Edward",male,1992.3008823529412,0,0,S.O./P.P. 751,7.55,G6,S
649,650,1,3,"Stanley, Miss. Amy Zillah Elsie",female,1999.0,0,0,CA. 2314,7.55,G6,S
650,651,0,3,"Mitkoff, Mr. Mito",male,1992.3008823529412,0,0,349221,7.8958,G6,S
651,652,1,2,"Doling, Miss. Elsie",female,2004.0,0,1,231919,23.0,G6,S
652,653,0,3,"Kalvik, Mr. Johannes Halvorsen",male,2001.0,0,0,8475,8.4333,G6,S
653,654,1,3,"O'Leary, Miss. Hanora ""Norah""",female,1992.3008823529412,0,0,330919,7.8292,G6,Q
654,655,0,3,"Hegarty, Miss. Hanora ""Nora""",female,2004.0,0,0,365226,6.75,G6,Q
655,656,0,2,"Hickman, Mr. Leonard Mark",male,1998.0,2,0,S.O.C. 14879,73.5,G6,S
656,657,0,3,"Radeff, Mr. Alexander",male,1992.3008823529412,0,0,349223,7.8958,G6,S
657,658,0,3,"Bourke, Mrs. John (Catherine)",female,1990.0,1,1,364849,15.5,G6,Q
658,659,0,2,"Eitemiller, Mr. George Floyd",male,1999.0,0,0,29751,13.0,G6,S
659,660,0,1,"Newell, Mr. Arthur Webster",male,1964.0,0,2,35273,113.275,D48,C
660,661,1,1,"Frauenthal, Dr. Henry William",male,1972.0,2,0,PC 17611,133.65,G6,S
661,662,0,3,"Badt, Mr. Mohamed",male,1982.0,0,0,2623,7.225,G6,C
662,663,0,1,"Colley, Mr. Edward Pomeroy",male,1975.0,0,0,5727,25.5875,E58,S
663,664,0,3,"Coleff, Mr. Peju",male,1986.0,0,0,349210,7.4958,G6,S
664,665,1,3,"Lindqvist, Mr. Eino William",male,2002.0,1,0,STON/O 2. 3101285,7.925,G6,S
665,666,0,2,"Hickman, Mr. Lewis",male,1990.0,2,0,S.O.C. 14879,73.5,G6,S
666,667,0,2,"Butler, Mr. Reginald Fenton",male,1997.0,0,0,234686,13.0,G6,S
667,668,0,3,"Rommetvedt, Mr. Knud Paust",male,1992.3008823529412,0,0,312993,7.775,G6,S
668,669,0,3,"Cook, Mr. Jacob",male,1979.0,0,0,A/5 3536,8.05,G6,S
669,670,1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,1992.3008823529412,1,0,19996,52.0,C126,S
670,671,1,2,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,1982.0,1,1,29750,39.0,G6,S
671,672,0,1,"Davidson, Mr. Thornton",male,1991.0,1,0,F.C. 12750,52.0,B71,S
672,673,0,2,"Mitchell, Mr. Henry Michael",male,1952.0,0,0,C.A. 24580,10.5,G6,S
673,674,1,2,"Wilhelms, Mr. Charles",male,1991.0,0,0,244270,13.0,G6,S
674,675,0,2,"Watson, Mr. Ennis Hastings",male,1992.3008823529412,0,0,239856,0.0,G6,S
675,676,0,3,"Edvardsson, Mr. Gustaf Hjalmar",male,2004.0,0,0,349912,7.775,G6,S
676,677,0,3,"Sawyer, Mr. Frederick Charles",male,1997.5,0,0,342826,8.05,G6,S
677,678,1,3,"Turja, Miss. Anna Sofia",female,2004.0,0,0,4138,9.8417,G6,S
678,679,0,3,"Goodwin, Mrs. Frederick (Augusta Tyler)",female,1979.0,1,6,CA 2144,46.9,G6,S
679,680,1,1,"Cardeza, Mr. Thomas Drake Martinez",male,1986.0,0,1,PC 17755,512.3292,B51 B53 B55,C
680,681,0,3,"Peters, Miss. Katie",female,1992.3008823529412,0,0,330935,8.1375,G6,Q
681,682,1,1,"Hassab, Mr. Hammad",male,1995.0,0,0,PC 17572,76.7292,D49,C
682,683,0,3,"Olsvigen, Mr. Thor Anderson",male,2002.0,0,0,6563,9.225,G6,S
683,684,0,3,"Goodwin, Mr. Charles Edward",male,2008.0,5,2,CA 2144,46.9,G6,S
684,685,0,2,"Brown, Mr. Thomas William Solomon",male,1962.0,1,1,29750,39.0,G6,S
685,686,0,2,"Laroche, Mr. Joseph Philippe Lemercier",male,1997.0,1,2,SC/Paris 2123,41.5792,G6,C
686,687,0,3,"Panula, Mr. Jaako Arnold",male,2008.0,4,1,3101295,39.6875,G6,S
687,688,0,3,"Dakic, Mr. Branko",male,2003.0,0,0,349228,10.1708,G6,S
688,689,0,3,"Fischer, Mr. Eberhard Thelander",male,2004.0,0,0,350036,7.7958,G6,S
689,690,1,1,"Madill, Miss. Georgette Alexandra",female,2007.0,0,1,24160,211.3375,B5,S
690,691,1,1,"Dick, Mr. Albert Adrian",male,1991.0,1,0,17474,57.0,B20,S
691,692,1,3,"Karun, Miss. Manca",female,2018.0,0,1,349256,13.4167,G6,C
692,693,1,3,"Lam, Mr. Ali",male,1992.3008823529412,0,0,1601,56.4958,G6,S
693,694,0,3,"Saad, Mr. Khalil",male,1997.0,0,0,2672,7.225,G6,C
694,695,0,1,"Weir, Col. John",male,1962.0,0,0,113800,26.55,G6,S
695,696,0,2,"Chapman, Mr. Charles Henry",male,1970.0,0,0,248731,13.5,G6,S
696,697,0,3,"Kelly, Mr. James",male,1978.0,0,0,363592,8.05,G6,S
697,698,1,3,"Mullens, Miss. Katherine ""Katie""",female,1992.3008823529412,0,0,35852,7.7333,G6,Q
698,699,0,1,"Thayer, Mr. John Borland",male,1973.0,1,1,17421,110.8833,C68,C
699,700,0,3,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,1980.0,0,0,348121,7.65,F G63,S
700,701,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,2004.0,1,0,PC 17757,227.525,C62 C64,C
701,702,1,1,"Silverthorne, Mr. Spencer Victor",male,1987.0,0,0,PC 17475,26.2875,E24,S
702,703,0,3,"Barbara, Miss. Saiide",female,2004.0,0,1,2691,14.4542,G6,C
703,704,0,3,"Gallagher, Mr. Martin",male,1997.0,0,0,36864,7.7417,G6,Q
704,705,0,3,"Hansen, Mr. Henrik Juul",male,1996.0,1,0,350025,7.8542,G6,S
705,706,0,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,1983.0,0,0,250655,26.0,G6,S
706,707,1,2,"Kelly, Mrs. Florence ""Fannie""",female,1977.0,0,0,223596,13.5,G6,S
707,708,1,1,"Calderhead, Mr. Edward Pennington",male,1980.0,0,0,PC 17476,26.2875,E24,S
708,709,1,1,"Cleaver, Miss. Alice",female,2000.0,0,0,113781,151.55,G6,S
709,710,1,3,"Moubarek, Master. Halim Gonios (""William George"")",male,1992.3008823529412,1,1,2661,15.2458,G6,C
710,711,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,1998.0,0,0,PC 17482,49.5042,C90,C
711,712,0,1,"Klaber, Mr. Herman",male,1992.3008823529412,0,0,113028,26.55,C124,S
712,713,1,1,"Taylor, Mr. Elmer Zebley",male,1974.0,1,0,19996,52.0,C126,S
713,714,0,3,"Larsson, Mr. August Viktor",male,1993.0,0,0,7545,9.4833,G6,S
714,715,0,2,"Greenberg, Mr. Samuel",male,1970.0,0,0,250647,13.0,G6,S
715,716,0,3,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,2003.0,0,0,348124,7.65,F G73,S
716,717,1,1,"Endres, Miss. Caroline Louise",female,1984.0,0,0,PC 17757,227.525,C45,C
717,718,1,2,"Troutt, Miss. Edwina Celia ""Winnie""",female,1995.0,0,0,34218,10.5,E101,S
718,719,0,3,"McEvoy, Mr. Michael",male,1992.3008823529412,0,0,36568,15.5,G6,Q
719,720,0,3,"Johnson, Mr. Malkolm Joackim",male,1989.0,0,0,347062,7.775,G6,S
720,721,1,2,"Harper, Miss. Annie Jessie ""Nina""",female,2016.0,0,1,248727,33.0,G6,S
721,722,0,3,"Jensen, Mr. Svend Lauritz",male,2005.0,1,0,350048,7.0542,G6,S
722,723,0,2,"Gillespie, Mr. William Henry",male,1988.0,0,0,12233,13.0,G6,S
723,724,0,2,"Hodges, Mr. Henry Price",male,1972.0,0,0,250643,13.0,G6,S
724,725,1,1,"Chambers, Mr. Norman Campbell",male,1995.0,1,0,113806,53.1,E8,S
725,726,0,3,"Oreskovic, Mr. Luka",male,2002.0,0,0,315094,8.6625,G6,S
726,727,1,2,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,1992.0,3,0,31027,21.0,G6,S
727,728,1,3,"Mannion, Miss. Margareth",female,1992.3008823529412,0,0,36866,7.7375,G6,Q
728,729,0,2,"Bryhl, Mr. Kurt Arnold Gottfrid",male,1997.0,1,0,236853,26.0,G6,S
729,730,0,3,"Ilmakangas, Miss. Pieta Sofia",female,1997.0,1,0,STON/O2. 3101271,7.925,G6,S
730,731,1,1,"Allen, Miss. Elisabeth Walton",female,1993.0,0,0,24160,211.3375,B5,S
731,732,0,3,"Hassan, Mr. Houssein G N",male,2011.0,0,0,2699,18.7875,G6,C
732,733,0,2,"Knight, Mr. Robert J",male,1992.3008823529412,0,0,239855,0.0,G6,S
733,734,0,2,"Berriman, Mr. William John",male,1999.0,0,0,28425,13.0,G6,S
734,735,0,2,"Troupiansky, Mr. Moses Aaron",male,1999.0,0,0,233639,13.0,G6,S
735,736,0,3,"Williams, Mr. Leslie",male,1993.5,0,0,54636,16.1,G6,S
736,737,0,3,"Ford, Mrs. Edward (Margaret Ann Watson)",female,1974.0,1,3,W./C. 6608,34.375,G6,S
737,738,1,1,"Lesurer, Mr. Gustave J",male,1987.0,0,0,PC 17755,512.3292,B101,C
738,739,0,3,"Ivanoff, Mr. Kanio",male,1992.3008823529412,0,0,349201,7.8958,G6,S
739,740,0,3,"Nankoff, Mr. Minko",male,1992.3008823529412,0,0,349218,7.8958,G6,S
740,741,1,1,"Hawksford, Mr. Walter James",male,1992.3008823529412,0,0,16988,30.0,D45,S
741,742,0,1,"Cavendish, Mr. Tyrell William",male,1986.0,1,0,19877,78.85,C46,S
742,743,1,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,2001.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C
743,744,0,3,"McNamee, Mr. Neal",male,1998.0,1,0,376566,16.1,G6,S
744,745,1,3,"Stranden, Mr. Juho",male,1991.0,0,0,STON/O 2. 3101288,7.925,G6,S
745,746,0,1,"Crosby, Capt. Edward Gifford",male,1952.0,1,1,WE/P 5735,71.0,B22,S
746,747,0,3,"Abbott, Mr. Rossmore Edward",male,2006.0,1,1,C.A. 2673,20.25,G6,S
747,748,1,2,"Sinkkonen, Miss. Anna",female,1992.0,0,0,250648,13.0,G6,S
748,749,0,1,"Marvin, Mr. Daniel Warner",male,2003.0,1,0,113773,53.1,D30,S
749,750,0,3,"Connaghton, Mr. Michael",male,1991.0,0,0,335097,7.75,G6,Q
750,751,1,2,"Wells, Miss. Joan",female,2018.0,1,1,29103,23.0,G6,S
751,752,1,3,"Moor, Master. Meier",male,2016.0,0,1,392096,12.475,E121,S
752,753,0,3,"Vande Velde, Mr. Johannes Joseph",male,1989.0,0,0,345780,9.5,G6,S
753,754,0,3,"Jonkoff, Mr. Lalio",male,1999.0,0,0,349204,7.8958,G6,S
754,755,1,2,"Herman, Mrs. Samuel (Jane Laver)",female,1974.0,1,2,220845,65.0,G6,S
755,756,1,2,"Hamalainen, Master. Viljo",male,2021.33,1,1,250649,14.5,G6,S
756,757,0,3,"Carlsson, Mr. August Sigfrid",male,1994.0,0,0,350042,7.7958,G6,S
757,758,0,2,"Bailey, Mr. Percy Andrew",male,2004.0,0,0,29108,11.5,G6,S
758,759,0,3,"Theobald, Mr. Thomas Leonard",male,1988.0,0,0,363294,8.05,G6,S
759,760,1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,1989.0,0,0,110152,86.5,B77,S
760,761,0,3,"Garfirth, Mr. John",male,1992.3008823529412,0,0,358585,14.5,G6,S
761,762,0,3,"Nirva, Mr. Iisakki Antino Aijo",male,1981.0,0,0,SOTON/O2 3101272,7.125,G6,S
762,763,1,3,"Barah, Mr. Hanna Assi",male,2002.0,0,0,2663,7.2292,G6,C
763,764,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,1986.0,1,2,113760,120.0,B96 B98,S
764,765,0,3,"Eklund, Mr. Hans Linus",male,2006.0,0,0,347074,7.775,G6,S
765,766,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,1971.0,1,0,13502,77.9583,D11,S
766,767,0,1,"Brewe, Dr. Arthur Jackson",male,1992.3008823529412,0,0,112379,39.6,G6,C
767,768,0,3,"Mangan, Miss. Mary",female,1991.5,0,0,364850,7.75,G6,Q
768,769,0,3,"Moran, Mr. Daniel J",male,1992.3008823529412,1,0,371110,24.15,G6,Q
769,770,0,3,"Gronnestad, Mr. Daniel Danielsen",male,1990.0,0,0,8471,8.3625,G6,S
770,771,0,3,"Lievens, Mr. Rene Aime",male,1998.0,0,0,345781,9.5,G6,S
771,772,0,3,"Jensen, Mr. Niels Peder",male,1974.0,0,0,350047,7.8542,G6,S
772,773,0,2,"Mack, Mrs. (Mary)",female,1965.0,0,0,S.O./P.P. 3,10.5,E77,S
773,774,0,3,"Elias, Mr. Dibo",male,1992.3008823529412,0,0,2674,7.225,G6,C
774,775,1,2,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,1968.0,1,3,29105,23.0,G6,S
775,776,0,3,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",male,2004.0,0,0,347078,7.75,G6,S
776,777,0,3,"Tobin, Mr. Roger",male,1992.3008823529412,0,0,383121,7.75,F38,Q
777,778,1,3,"Emanuel, Miss. Virginia Ethel",female,2017.0,0,0,364516,12.475,G6,S
778,779,0,3,"Kilgannon, Mr. Thomas J",male,1992.3008823529412,0,0,36865,7.7375,G6,Q
779,780,1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,1979.0,0,1,24160,211.3375,B3,S
780,781,1,3,"Ayoub, Miss. Banoura",female,2009.0,0,0,2687,7.2292,G6,C
781,782,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,2005.0,1,0,17474,57.0,B20,S
782,783,0,1,"Long, Mr. Milton Clyde",male,1993.0,0,0,113501,30.0,D6,S
783,784,0,3,"Johnston, Mr. Andrew G",male,1992.3008823529412,1,2,W./C. 6607,23.45,G6,S
784,785,0,3,"Ali, Mr. William",male,1997.0,0,0,SOTON/O.Q. 3101312,7.05,G6,S
785,786,0,3,"Harmer, Mr. Abraham (David Lishin)",male,1997.0,0,0,374887,7.25,G6,S
786,787,1,3,"Sjoblom, Miss. Anna Sofia",female,2004.0,0,0,3101265,7.4958,G6,S
787,788,0,3,"Rice, Master. George Hugh",male,2014.0,4,1,382652,29.125,G6,Q
788,789,1,3,"Dean, Master. Bertram Vere",male,2021.0,1,2,C.A. 2315,20.575,G6,S
789,790,0,1,"Guggenheim, Mr. Benjamin",male,1976.0,0,0,PC 17593,79.2,B82 B84,C
790,791,0,3,"Keane, Mr. Andrew ""Andy""",male,1992.3008823529412,0,0,12460,7.75,G6,Q
791,792,0,2,"Gaskell, Mr. Alfred",male,2006.0,0,0,239865,26.0,G6,S
792,793,0,3,"Sage, Miss. Stella Anna",female,1992.3008823529412,8,2,CA. 2343,69.55,G6,S
