–Т—Л–ґ–Є–ї;P–Ї–ї–∞—Б—Б;–°–µ–Ї—Б;–Т–Њ–Ј—А–∞—Б—В;–°–Є–±—Б–њ;–Я–∞—А—З;–Я—А–Њ–µ–Ј–і–љ–Њ–є –±–Є–ї–µ—В;–Ґ—А–∞–љ—Б–њ–Њ—А—В–љ—Л–µ —А–∞—Б—Е–Њ–і—Л;–Ъ–∞–±–Є–љ–∞;–Ю—В–њ—А–∞–≤–Є–ї—Б—П
0;3;male;1974.0;0;0;350047;8542-07-01 00:00:00;B96 B98;S
0;2;female;1965.0;0;0;S.O./P.P. 3;2022-05-10 00:00:00;E77;S
0;3;male;1992.3008823529408;0;0;2674;7.225;B96 B98;C
1;2;female;1968.0;1;3;29105;23.0;B96 B98;S
0;3;male;2004.0;0;0;347078;1975-07-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;383121;1975-07-01 00:00:00;F38;Q
1;3;female;2017.0;0;0;364516;12.475;B96 B98;S
0;3;male;1992.3008823529408;0;0;36865;7375-07-01 00:00:00;B96 B98;Q
1;1;female;1979.0;0;1;24160;211.3375;B3;S
1;3;female;2009.0;0;0;2687;2292-07-01 00:00:00;B96 B98;C
1;1;female;2005.0;1;0;17474;57.0;B20;S
0;1;male;1993.0;0;0;113501;30.0;D6;S
0;3;male;1992.3008823529408;1;2;W./C. 6607;23.45;B96 B98;S
0;3;male;1997.0;0;0;SOTON/O.Q. 3101312;2022-05-07 00:00:00;B96 B98;S
0;3;male;1997.0;0;0;374887;2025-07-01 00:00:00;B96 B98;S
1;3;female;2004.0;0;0;3101265;4958-07-01 00:00:00;B96 B98;S
0;3;male;2014.0;4;1;382652;29.125;B96 B98;Q
1;3;male;2021.0;1;2;C.A. 2315;20.575;B96 B98;S
0;1;male;1976.0;0;0;PC 17593;79.2;B82 B84;C
0;3;male;1992.3008823529408;0;0;12460;1975-07-01 00:00:00;B96 B98;Q
0;2;male;2006.0;0;0;239865;26.0;B96 B98;S
0;3;female;1992.3008823529408;8;2;CA. 2343;69.55;B96 B98;S
0;1;male;1992.3008823529408;0;0;PC 17600;30.6958;B96 B98;C
0;3;male;1997.0;0;0;349203;8958-07-01 00:00:00;B96 B98;S
0;2;male;1983.0;0;0;28213;13.0;B96 B98;S
1;1;female;1973.0;0;0;17465;25.9292;D17;S
1;3;female;1991.0;0;0;349244;6833-08-01 00:00:00;B96 B98;S
0;3;male;1992.0;0;0;2685;2292-07-01 00:00:00;B96 B98;C
0;3;female;1992.0;1;1;345773;24.15;B96 B98;S
0;2;male;1988.0;0;0;250647;13.0;B96 B98;S
1;2;female;1991.0;1;1;C.A. 31921;26.25;B96 B98;S
1;1;male;2011.0;1;2;113760;120.0;B96 B98;S
1;3;male;2021.58;0;1;2625;5167-08-01 00:00:00;B96 B98;C
1;3;male;1995.0;0;0;347089;6.975;B96 B98;S
0;3;male;1991.0;0;0;347063;7.775;B96 B98;S
0;1;male;1983.0;0;0;112050;0.0;A36;S
0;3;female;2004.0;0;0;347087;7.775;B96 B98;S
0;2;male;1983.0;0;0;248723;13.0;B96 B98;S
1;1;female;1989.0;1;0;113806;53.1;E8;S
0;3;male;1996.0;0;0;3474;8875-07-01 00:00:00;B96 B98;S
0;3;male;1983.0;0;0;A/4 48871;24.15;B96 B98;S
0;2;male;1987.0;0;0;28206;2022-05-10 00:00:00;B96 B98;S
0;3;female;2016.0;4;2;347082;31.275;B96 B98;S
0;3;male;1991.5;0;0;364499;2022-05-08 00:00:00;B96 B98;S
0;1;male;1992.3008823529408;0;0;112058;0.0;B102;S
0;3;female;1999.0;0;0;STON/O2. 3101290;7.925;B96 B98;S
0;2;male;1991.0;1;1;S.C./PARIS 2079;37.0042;B96 B98;C
0;3;male;1979.0;0;0;C 7075;1945-06-01 00:00:00;B96 B98;S
0;3;male;2012.0;3;2;347088;2022-09-27 00:00:00;B96 B98;S
1;1;female;1970.0;1;1;12749;93.5;B69;S
1;3;male;1995.0;0;0;315098;6625-08-01 00:00:00;B96 B98;S
0;1;male;1984.0;0;0;19972;0.0;B96 B98;S
1;3;female;1995.0;0;1;392096;12.475;E121;S
0;3;male;2020.0;4;1;3101295;39.6875;B96 B98;S
0;3;male;1992.3008823529408;0;0;368323;1995-06-01 00:00:00;B96 B98;Q
0;3;male;1992.3008823529408;0;0;1601;56.4958;B96 B98;S
1;2;male;2021.0;0;2;S.C./PARIS 2079;37.0042;B96 B98;C
1;3;male;1992.3008823529408;0;0;367228;1975-07-01 00:00:00;B96 B98;Q
1;1;female;1960.0;0;0;113572;80.0;B28;S
1;3;female;2007.0;1;0;2659;14.4542;B96 B98;C
1;2;male;2021.17;1;1;29106;18.75;B96 B98;S
0;3;male;1992.3008823529408;0;0;2671;2292-07-01 00:00:00;B96 B98;C
0;3;male;1999.0;0;0;347468;8542-07-01 00:00:00;B96 B98;S
0;3;male;2004.0;0;0;2223;2022-03-08 00:00:00;B96 B98;S
1;1;female;1983.0;1;1;PC 17756;83.1583;E49;C
0;3;male;2001.0;0;0;315097;6625-08-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;392092;2022-05-08 00:00:00;B96 B98;S
1;3;male;1990.0;0;0;1601;56.4958;B96 B98;S
1;1;male;1992.3008823529408;0;0;11774;2022-07-29 00:00:00;C47;C
0;3;male;2002.0;0;0;SOTON/O2 3101287;7.925;B96 B98;S
0;2;male;2006.0;0;0;S.O./P.P. 3;2022-05-10 00:00:00;B96 B98;S
1;1;female;1992.0;0;0;113798;31.0;B96 B98;C
0;3;male;1987.5;0;0;2683;4375-06-01 00:00:00;B96 B98;C
0;3;male;2005.0;0;0;315090;6625-08-01 00:00:00;B96 B98;S
0;3;male;1980.0;0;0;C.A. 5547;1955-07-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;8;2;CA. 2343;69.55;B96 B98;S
0;3;male;1987.0;0;0;349213;8958-07-01 00:00:00;B96 B98;C
0;2;male;1994.0;0;1;248727;33.0;B96 B98;S
1;1;female;1992.3008823529408;1;0;17453;89.1042;C92;C
0;3;male;2018.0;4;2;347082;31.275;B96 B98;S
0;3;male;1948.0;0;0;347060;7.775;B96 B98;S
0;3;female;2013.0;1;1;2678;15.2458;B96 B98;C
1;1;female;2006.0;0;1;PC 17592;39.4;D28;S
0;2;female;1978.0;1;0;244252;26.0;B96 B98;S
1;3;female;2004.0;0;1;392091;1935-09-01 00:00:00;B96 B98;S
1;1;female;1977.0;1;1;36928;164.8667;B96 B98;S
1;1;male;1971.0;0;0;113055;26.55;E17;S
1;3;female;1998.0;0;3;2666;19.2583;B96 B98;C
0;3;male;1992.3008823529408;0;0;2629;2292-07-01 00:00:00;B96 B98;C
0;3;male;1981.0;2;0;350026;14.1083;B96 B98;S
0;2;male;2001.0;1;0;28134;2022-05-11 00:00:00;B96 B98;S
1;1;female;1974.0;0;0;17466;25.9292;D17;S
0;3;female;1992.3008823529408;8;2;CA. 2343;69.55;B96 B98;S
0;2;male;1998.0;0;0;233866;13.0;B96 B98;S
1;2;female;1980.0;0;0;236852;13.0;B96 B98;S
1;2;female;1995.0;1;0;SC/PARIS 2149;13.8583;B96 B98;C
0;1;male;1991.0;0;0;PC 17590;50.4958;A24;S
0;3;male;1992.3008823529408;0;0;345777;2022-05-09 00:00:00;B96 B98;S
1;3;male;2018.0;1;1;347742;11.1333;B96 B98;S
0;3;male;1996.0;0;0;349248;8958-07-01 00:00:00;B96 B98;S
1;1;female;1975.0;1;1;11751;52.5542;D35;S
0;1;male;1989.0;0;0;695;5.0;B51 B53 B55;S
0;3;male;1975.0;0;0;345765;9.0;B96 B98;S
1;2;female;1994.0;1;0;P/PP 3381;24.0;B96 B98;C
1;3;female;2007.0;0;0;2667;7.225;B96 B98;C
0;3;male;2002.0;0;0;7534;8458-09-01 00:00:00;B96 B98;S
0;3;male;2003.0;0;0;349212;8958-07-01 00:00:00;B96 B98;S
0;3;male;1992.3008823529408;0;0;349217;8958-07-01 00:00:00;B96 B98;S
1;1;female;1966.0;0;1;11767;83.1583;C50;C
1;2;female;1997.0;0;1;230433;26.0;B96 B98;S
0;3;male;1989.0;0;0;349257;8958-07-01 00:00:00;B96 B98;S
0;3;female;2000.0;0;0;7552;5167-10-01 00:00:00;B96 B98;S
0;2;male;1994.0;0;0;C.A./SOTON 34068;2022-05-10 00:00:00;B96 B98;S
0;3;male;1997.0;0;0;SOTON/OQ 392076;2022-05-07 00:00:00;B96 B98;S
0;3;female;1983.0;0;5;382652;29.125;B96 B98;Q
0;2;male;1995.0;0;0;211536;13.0;B96 B98;S
1;1;female;2003.0;0;0;112053;30.0;B42;S
0;3;female;1992.3008823529408;1;2;W./C. 6607;23.45;B96 B98;S
1;1;male;1996.0;0;0;111369;30.0;C148;C
0;3;male;1990.0;0;0;370376;1975-07-01 00:00:00;B96 B98;Q
